,App ID,Game Name,Game Link
596,940710,Colt Canyon,https://steamdb.info/app/940710/
597,943140,Sparklite,https://steamdb.info/app/943140/
598,943980,The logic of the miniature garden,https://steamdb.info/app/943980/
599,944010,S.W.I.N.E. HD Remaster,https://steamdb.info/app/944010/
600,944920,Nanotale - Typing Chronicles,https://steamdb.info/app/944920/
601,945710,DreadOut 2,https://steamdb.info/app/945710/
602,947300,Grim Nights,https://steamdb.info/app/947300/
603,951430,Dead Age 2: The Zombie Survival RPG,https://steamdb.info/app/951430/
604,953490,CARRION,https://steamdb.info/app/953490/
605,960090,Bloons TD 6,https://steamdb.info/app/960090/
606,960170,DJMAX RESPECT V,https://steamdb.info/app/960170/
607,960690,One Step From Eden,https://steamdb.info/app/960690/
608,964440,Hell is Others,https://steamdb.info/app/964440/
609,965310,The Settlers® : Rise of an Empire - History Edition,https://steamdb.info/app/965310/
610,965580,Root,https://steamdb.info/app/965580/
611,967250,DOKA 2 KISHKI EDITION,https://steamdb.info/app/967250/
612,968970,Lumberjack's Dynasty,https://steamdb.info/app/968970/
613,970830,The Dungeon Of Naheulbeuk: The Amulet Of Chaos,https://steamdb.info/app/970830/
614,973090,Toilet Simulator 2020,https://steamdb.info/app/973090/
615,973760,Thronebreaker: The Witcher Tales,https://steamdb.info/app/973760/
616,975470,Silver Chains,https://steamdb.info/app/975470/
617,978520,Legend of Keepers: Career of a Dungeon Manager,https://steamdb.info/app/978520/
618,980300,One Finger Death Punch 2,https://steamdb.info/app/980300/
619,982270,Dealer's Life,https://steamdb.info/app/982270/
620,982720,Paradise Lost,https://steamdb.info/app/982720/
621,984680,Interstellar Space: Genesis,https://steamdb.info/app/984680/
622,987840,Expeditions: Rome,https://steamdb.info/app/987840/
623,989440,Phantom Abyss,https://steamdb.info/app/989440/
624,989690,Conan Unconquered,https://steamdb.info/app/989690/
625,995980,Fae Tactics,https://steamdb.info/app/995980/
626,998740,Ring of Pain,https://steamdb.info/app/998740/
627,1000080,Zengeon,https://steamdb.info/app/1000080/
628,1007350,Mirror Maker,https://steamdb.info/app/1007350/
629,1009290,SWORD ART ONLINE Alicization Lycoris,https://steamdb.info/app/1009290/
630,1012840,Moons of Madness,https://steamdb.info/app/1012840/
631,1018830,Element TD 2 - Tower Defense,https://steamdb.info/app/1018830/
632,1020470,Evoland Legendary Edition,https://steamdb.info/app/1020470/
633,1020820,KumaKuma Manga Editor,https://steamdb.info/app/1020820/
634,1021770,Wanba Warriors,https://steamdb.info/app/1021770/
635,1025440,Fantasy General II,https://steamdb.info/app/1025440/
636,1031920,Симулятор Сидения у Подъезда,https://steamdb.info/app/1031920/
637,1035120,Lust from Beyond,https://steamdb.info/app/1035120/
638,1035930,Nyasha,https://steamdb.info/app/1035930/
639,1037020,ScourgeBringer,https://steamdb.info/app/1037020/
640,1038740,Fluffy Store,https://steamdb.info/app/1038740/
641,1040230,Curious Expedition 2,https://steamdb.info/app/1040230/
642,1046030,ISLANDERS,https://steamdb.info/app/1046030/
643,1048350,Nigate Tale,https://steamdb.info/app/1048350/
644,1049710,Minute of Islands,https://steamdb.info/app/1049710/
645,1051310,Paper Dolls: Original / 纸人,https://steamdb.info/app/1051310/
646,1054490,Wingspan,https://steamdb.info/app/1054490/
647,1058450,MY HERO ONE'S JUSTICE 2,https://steamdb.info/app/1058450/
648,1059990,Trombone Champ,https://steamdb.info/app/1059990/
649,1061910,Metal: Hellsinger,https://steamdb.info/app/1061910/
650,1062110,UNSIGHTED,https://steamdb.info/app/1062110/
651,1062160,Poly Bridge 2,https://steamdb.info/app/1062160/
652,1066260,Devolver Bootleg,https://steamdb.info/app/1066260/
653,1066780,Transport Fever 2,https://steamdb.info/app/1066780/
654,1069690,Rogue Lords,https://steamdb.info/app/1069690/
655,1075740,Banners of Ruin,https://steamdb.info/app/1075740/
656,1076200,Roguebook,https://steamdb.info/app/1076200/
657,1081510,She Sees Red - Interactive Movie,https://steamdb.info/app/1081510/
658,1082180,TT Isle of Man: Ride on the Edge 2,https://steamdb.info/app/1082180/
659,1086640,Dude Simulator 3,https://steamdb.info/app/1086640/
660,1088850,Marvel's Guardians of the Galaxy,https://steamdb.info/app/1088850/
661,1091460,Souls of Blades,https://steamdb.info/app/1091460/
662,1091500,Cyberpunk 2077,https://steamdb.info/app/1091500/
663,1092140,Exit From,https://steamdb.info/app/1092140/
664,1092630,Rogue Glitch Ultra,https://steamdb.info/app/1092630/
665,1092660,Blair Witch,https://steamdb.info/app/1092660/
666,1092790,Inscryption,https://steamdb.info/app/1092790/
667,1093290,The Wild at Heart,https://steamdb.info/app/1093290/
668,1093910,Tales of the Black Forest,https://steamdb.info/app/1093910/
669,1096410,Vampire: The Masquerade - Coteries of New York,https://steamdb.info/app/1096410/
670,1097350,Weird West: Definitive Edition,https://steamdb.info/app/1097350/
671,1097530,Mortal Glory,https://steamdb.info/app/1097530/
672,1099640,Jack Move,https://steamdb.info/app/1099640/
673,1100930,LEGIONCRAFT,https://steamdb.info/app/1100930/
674,1106840,Hydroneer,https://steamdb.info/app/1106840/
675,1117630,I got a cat maid,https://steamdb.info/app/1117630/
676,1119700,As Far As The Eye,https://steamdb.info/app/1119700/
677,1123770,Curse of the Dead Gods,https://steamdb.info/app/1123770/
678,1124300,HUMANKIND™,https://steamdb.info/app/1124300/
679,1124660,STORM AREA 51: AYY LMAO EDITION,https://steamdb.info/app/1124660/
680,1132910,ITORAH,https://steamdb.info/app/1132910/
681,1132980,There Is No Light: Enhanced Edition,https://steamdb.info/app/1132980/
682,1133060,Anarchy: Wolf's law,https://steamdb.info/app/1133060/
683,1135690,Unpacking,https://steamdb.info/app/1135690/
684,1136160,Internet Cafe Simulator,https://steamdb.info/app/1136160/
685,1138660,Black Book,https://steamdb.info/app/1138660/
686,1140270,Monster Prom 2: Monster Camp,https://steamdb.info/app/1140270/
687,1140440,OMON Simulator,https://steamdb.info/app/1140440/
688,1142080,Pawnbarian,https://steamdb.info/app/1142080/
689,1144770,SLUDGE LIFE,https://steamdb.info/app/1144770/
690,1146230,DungeonTop,https://steamdb.info/app/1146230/
691,1147560,Skul: The Hero Slayer,https://steamdb.info/app/1147560/
692,1150530,Wizard with a Gun,https://steamdb.info/app/1150530/
693,1152090,Elmarion: Dragon time,https://steamdb.info/app/1152090/
694,1157390,King Arthur: Knight's Tale,https://steamdb.info/app/1157390/
695,1158310,Crusader Kings III,https://steamdb.info/app/1158310/
696,1167680,Orbital Bullet – The 360° Rogue-lite,https://steamdb.info/app/1167680/
697,1170080,Foretales,https://steamdb.info/app/1170080/
698,1172450,Carto,https://steamdb.info/app/1172450/
699,1172650,INDUSTRIA,https://steamdb.info/app/1172650/
700,1173200,Metal Unit,https://steamdb.info/app/1173200/
701,1175460,Revita,https://steamdb.info/app/1175460/
